Year,URL,Image_URL,Alt_Text
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/winter-break-vehicle-storage-available-for-faculty-staff,https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Fall-Purdue-JU27458.jpg,The Purdue Bell Tower during the fall.
2023,https://www.purdue.edu/newsroom/2023/Q4/fueling-advanced-manufacturing-growth-across-indianas-hard-tech-corridor-reimagine-in-mac-through-purdue-in-west-lafayette-and-indianapolis,https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/pt-purdue-indysign-OG.jpg,Purdue University in Indianapolis sign
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/graduating-purdue-senior-channels-entrepreneurial-mindset-to-propel-growth-success-in-her-hometown,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/pt-emmani-ellis-800x533-1.jpg,emmani-ellis
2023,https://www.purdue.edu/newsroom/2023/Q4/purdue-global-military-affiliated-students-staff-share-success-stories-on-military-makeover-operation-career,https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/dooley-militarymakeoverLO.jpg,Purdue Global Chancellor Frank Dooley
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/purdue-university-online-seeks-nominations-for-2024-awards-for-excellence-in-online-education,https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Fall-Purdue-2023_KAL_4780.jpg,The Bell Tower at Purdue University.
2023,https://www.purdue.edu/newsroom/2023/Q4/todays-top-5-from-purdue-university-10,https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Winter-Purdue-Memorial-Union-RJM5693.jpg,The Purdue Memorial Union during the winter season.
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/purdue-invites-high-school-students-to-virtual-women-in-engineering-presentation,https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Fall-Purdue-2022_RM18712.jpg,
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/staff-excellence-purdue-university-police-department,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/pt-pupd-football-800x533-1.jpg,pupd-k9
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/westwood-lecture-dec-13,,
2023,https://www.purdue.edu/newsroom/2023/Q4/advanced-practice-registered-nurses-adapt-to-expanded-telehealth-use-during-and-after-pandemic,https://www.purdue.edu/newsroom/wp-content/uploads/2024/08/23pglobal-logo.jpeg,Purdue Global logo on a black background
2023,https://www.purdue.edu/newsroom/2023/Q4/purdue-global-honors-faculty-staff-with-distinction-awards,https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/distinction-awards-pgLO.jpg,A graphic representing the Purdue Global Distinction Awards
2023,https://www.purdue.edu/newsroom/2023/Q4/are-electric-vtol-aircraft-the-future-of-urban-mobility-it-all-depends-on-the-batteries,https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Winter-Purdue-RJM5525.jpg,The Engineering Fountain during the winter season at Purdue University.
